,utc,scan,lst,source,velocity,right_ascension,declination,azimuth,elevation,ca,ie,x_focus,y_focus,z_focus,foct,scan_type,observ_mode,observ_geometry,stroke_mode,switch_mode,offsets,reference,no_of_subscans,mm_pwv,ambient_temperature,pressure,humidity,dew_point,wind_direction,wind_speed,frontend_backend,mol_line,command,observer_id,operator_id,scan_duration,comment,line
0,2016-12-01 21:51:12,92274,22:04:52,EP-Aqr,-34.0,21:46:31.8660,-02:12:45.7100,-12.3,68.7,3.1,0.3,0.29,0.11,0.15,ON,GO,NONE,NONE,LINEAR,TP,"EQ[0.0"",0.0""]REL",,0,2.83,0.9,554.2,26.4,-14.6,242.0,10.5,HET230-XFFTS2 (RefFeed: 1),CO_JO201 (221.152); CO_JO201 (221.152),go(),JPE-CPE-CDB-MVU,---,0 days 00:00:19.000000000,mostly overcast with some sun appearing through,CO_JO201
1,2016-12-01 21:51:48,92275,22:05:28,EP-Aqr,-34.0,21:46:31.8660,-02:12:45.7100,-12.6,68.7,3.1,0.3,0.29,0.11,0.15,ON,GO,NONE,NONE,LINEAR,TP,"EQ[0.0"",0.0""]REL",,0,2.75,0.6,554.1,26.6,-14.8,226.0,12.2,HET230-XFFTS2 (RefFeed: 1),CO(2-1) (230.538); CO(2-1) (230.538),go(),JPE-CPE-CDB-MVU,---,0 days 00:00:05.000000000,-,CO(2-1)
2,2016-12-01 21:53:00,92276,22:06:40,EP-Aqr,-34.0,21:46:31.8660,-02:12:45.7100,-14.2,68.5,3.1,0.3,0.29,0.11,0.15,ON,CAL,RASTER,SINGLE,LINEAR,TP,"EQ[0.0"",0.0""]REL","EQ[-1000.0"",0.0""]REL",3,2.72,0.4,554.1,26.9,-14.7,233.0,10.0,HET230-XFFTS2 (RefFeed: 1),CO(2-1) (230.538); CO(2-1) (230.538),"calibrate(mode='COLD',time=[10],autolevel='ON')",JPE-CPE-CDB-MVU,---,0 days 00:01:16.000000000,-,CO(2-1)
3,2016-12-01 21:54:16,92277,22:07:57,EP-Aqr,-34.0,21:46:31.8660,-02:12:45.7100,-14.3,68.5,3.1,0.3,0.29,0.11,0.15,ON,POINT,RASTER,CROSS,LINEAR,"WOB 60.0,0.5,POS,86","EQ[0.0"",0.0""]REL",,9,2.83,0.4,554.0,27.1,-14.6,233.0,10.1,HET230-XFFTS2 (RefFeed: 1),CO(2-1) (230.538); CO(2-1) (230.538),"point(length=54.0,unit='arcsec',time=20.0,mode='RAS',points=5,direction='x')",JPE-CPE-CDB-MVU,---,0 days 00:03:59.000000000,-,CO(2-1)
4,2016-12-01 22:01:17,92278,22:14:59,JO201_A,0.0,00:41:30.3200,-09:15:45.8000,-18.8,68.1,4.2,-0.5,0.29,0.11,0.15,ON,LOAD,NONE,NONE,LINEAR,TP,"EQ[0.0"",0.0""]REL",,0,2.91,0.2,554.1,27.8,-14.6,242.0,13.0,HET230-XFFTS2 (RefFeed: 1),CO_JO201 (221.152); CO_JO201 (221.152),load(),JPE-CPE-CDB-MVU,---,0 days 00:00:02.000000000,-,CO_JO201
5,2016-12-01 22:02:39,92279,22:16:21,JO201_A,0.0,00:41:30.3200,-09:15:45.8000,74.2,52.5,4.2,-0.5,0.29,0.11,0.15,ON,CAL,RASTER,SINGLE,LINEAR,TP,"EQ[0.0"",0.0""]REL","HO[-300.0"",0.0""]REL",3,2.88,-0.1,554.1,28.2,-14.6,248.0,13.3,HET230-XFFTS2 (RefFeed: 1),CO_JO201 (221.152); CO_JO201 (221.152),"calibrate(mode='COLD',time=[10],autolevel='ON')",JPE-CPE-CDB-MVU,---,0 days 00:01:25.000000000,-,CO_JO201
6,2016-12-01 22:04:05,92280,22:17:48,JO201_A,0.0,00:41:30.3200,-09:15:45.8000,74.1,52.8,4.2,-0.5,0.29,0.11,0.15,ON,ONOFF,RASTER,SINGLE,LINEAR,"WOB 150.0,0.5,SYM,119","EQ[0.0"",0.0""]REL",,14,2.84,0.2,554.1,28.1,-14.4,241.0,13.2,HET230-XFFTS2 (RefFeed: 1),CO_JO201 (221.152); CO_JO201 (221.152),"on(time=20,drift='NO',feeds=[],offsets=[],offsets_unit='arcsec',on2cal=0)",JPE-CPE-CDB-MVU,---,0 days 00:06:21.000000000,-,CO_JO201
7,2016-12-01 22:10:27,92281,22:24:11,JO201_A,0.0,00:41:30.3200,-09:15:45.8000,72.8,54.2,4.2,-0.5,0.29,0.11,0.15,ON,CAL,RASTER,SINGLE,LINEAR,TP,"EQ[0.0"",0.0""]REL","HO[-300.0"",0.0""]REL",3,2.78,-0.2,554.2,28.6,-14.6,245.0,9.6,HET230-XFFTS2 (RefFeed: 1),CO_JO201 (221.152); CO_JO201 (221.152),"calibrate(mode='COLD',time=[10],autolevel='ON')",JPE-CPE-CDB-MVU,---,0 days 00:01:14.000000000,-,CO_JO201
8,2016-12-01 22:11:43,92282,22:25:26,JO201_A,0.0,00:41:30.3200,-09:15:45.8000,72.7,54.5,4.2,-0.5,0.29,0.11,0.15,ON,ONOFF,RASTER,SINGLE,LINEAR,"WOB 150.0,0.5,SYM,119","EQ[0.0"",0.0""]REL",,14,2.85,-0.1,554.2,28.7,-14.3,250.0,8.2,HET230-XFFTS2 (RefFeed: 1),CO_JO201 (221.152); CO_JO201 (221.152),"on(time=20,drift='NO',feeds=[],offsets=[],offsets_unit='arcsec',on2cal=0)",JPE-CPE-CDB-MVU,---,0 days 00:06:16.000000000,-,CO_JO201
9,2016-12-01 22:20:13,92283,22:33:58,JO201_A,0.0,00:41:30.3200,-09:15:45.8000,71.2,56.4,4.2,-0.5,0.29,0.11,0.15,ON,CAL,RASTER,SINGLE,LINEAR,TP,"EQ[0.0"",0.0""]REL","HO[300.0"",0.0""]REL",3,2.76,-0.9,554.2,31.2,-14.1,254.0,8.0,HET230-XFFTS2 (RefFeed: 1),CO_JO201 (221.152); CO_JO201 (221.152),"calibrate(mode='COLD',time=[10],autolevel='ON')",JPE-CPE-CDB-MVU,---,0 days 00:01:08.000000000,-,CO_JO201
